Name,Link
ai|coustics,https://join.com/companies/ai-coustics
Amuse,https://careers.amuse.io/
Anthems Music,https://anthems.fm/careers
Audiology,https://katzdigital.com/careers-at-katz/
AudioShake,https://www.audioshake.ai/careers
Audoo,https://www.audoo.com/careers
BeatConnect,https://www.beatconnect.com/careers
Blokur,https://www.blokur.com/join-us/
Boomy,https://boomy.com/careers
Bronze,https://bronze.ai/careers/
Cogs AI,https://www.cogs-ai.com/careers
Discogs,https://www.discogs.com/about/careers/
EngineEars,https://engineears.com/for-all
Fave,https://faveforfans.com/careers
Horus Music,https://www.horusmusic.global/careers/
IDOL,https://idol.io/jobs/
Komi,https://komi.io/jobs
LANDR,https://www.landr.com/careers
Laylo,https://laylo.com/careers
Levellr,https://jobs.levellr.com/
Masterchannel,https://masterchannel.ai/careers
Merchbar,https://www.merchbar.com/about/careers
Musimap,https://www.musimap.com/careers
Musiversal,https://musiversal.applytojob.com/
ONCE.app,https://once.app/careers
ONErpm,https://onerpm.rippling-ats.com/
Pex,https://pex.com/careers/
Pibox,https://pibox.notion.site/We-re-hiring-more-details-for-positions-soon-1371db9d241c80beae24cc1e73490b96
POSH,https://posh.vip/careers
Rap Tech Studios,https://www.raptech.co/careers
Reactional Music,https://reactionalmusic.com/careers
Riffusion,https://www.flowmusic.app/career
RouteNote,http://routenote.com/careers/
Seat Unique,https://www.seatunique.com/careers
Sirius,https://join.com/companies/sirius
Sonomo,https://www.sonomo.com/join-us
SonoSuite,https://sonosuite.com/join-us
SONOTELLER.AI,https://sonoteller.ai/careers
SoundGate,https://soundgate.ai/careers/
Soundtrack Your Brand,https://careers.soundtrack.io/
Stationhead,https://www.stationhead.com/careers
The Orchard,https://www.theorchard.com/careers/
TuneCore,https://www.tunecore.com/careers
Vermillio,https://vermillio.applytojob.com/apply
Xceed,https://xceed.factorialhr.com/
Audius,https://audius.co/careers
Tune.FM,https://tune.fm/careers
