Name,Site,Why,LinkedIn jobs search
Albums,https://www.albums.app/en,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Albums
ALLOY,https://www.alloy.music,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=ALLOY
Alphabeats,https://www.listenalphabeats.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Alphabeats
Anotherblock,https://anotherblock.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Anotherblock
ARK,https://myarkapp.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=ARK
Artelize,https://artelize.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Artelize
Artist Growth,https://www.artistgrowth.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Artist%20Growth
ArtMaster,,нет сайта,https://www.linkedin.com/jobs/search/?keywords=ArtMaster
Audiotool,https://www.audiotool.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Audiotool
AWAL,https://www.awal.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=AWAL
Base For Music,https://www.baseformusic.com/en,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Base%20For%20Music
Baton,https://baton.media,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Baton
Beam for Music,https://beamformusic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Beam%20for%20Music
Beatdapp,https://beatdapp.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Beatdapp
Beatoven.ai,https://www.beatoven.ai,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Beatoven.ai
Bolero,https://www.boleromusic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Bolero
Breakr,https://www.breakr.app,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Breakr
Chartex,https://chartex.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Chartex
Closer Music,https://closermusic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Closer%20Music
Condense,https://condense.live,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Condense
Connected,https://www.connectedartists.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Connected
Creative Covenant,https://thecovenantcreative.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Creative%20Covenant
CRESQA,https://cresqa.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=CRESQA
Ctrl+Reach,https://www.ctrlreach.co,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Ctrl+Reach
Ditto Music,https://dittomusic.com/en,ссылка вела на пресс-статью,https://www.linkedin.com/jobs/search/?keywords=Ditto%20Music
EDGE Sound Research,https://www.edgesoundresearch.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=EDGE%20Sound%20Research
