Name,Link,ATS
Anghami,https://anghami.breezy.hr/,Breezy
Audiohook,https://jobs.ashbyhq.com/audiohook,Ashby
Audiomob,https://audiomob.com/careers,Greenhouse
AudioStack,https://apply.workable.com/audiostack/,Workable
CD Baby,https://cdbaby.com/careers/,Greenhouse
Dice,https://dice.fm/jobs,Greenhouse
DistroKid,https://job-boards.greenhouse.io/distrokid,Greenhouse
Duetti,https://jobs.lever.co/duetti,Lever
FUGA,https://fuga.com/jobs/,Greenhouse
Hook,https://hookmusic.com/careers,Ashby
Moises,https://music.ai/careers/,BambooHR
Splice,https://splice.com/worklife,Greenhouse
Symphonic,https://symphonic.com/careers/,BambooHR
Tracklib,https://careers.tracklib.com/,Teamtailor
Udio,https://job-boards.greenhouse.io/udio,Greenhouse
UnitedMasters,https://unitedmasters.com/en/careers,Greenhouse
Yoto,https://careers.yotoplay.com/en,Teamtailor
